Name,ProductKey,Description,Picture,Product sections,Type,vyzn.catalogue.Density,vyzn.catalogue.ch.KBOB2022.UBPTotal,vyzn.catalogue.ch.KBOB2022.UBPProduction,vyzn.catalogue.ch.KBOB2022.UBPDisposal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyTotal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyProduction,vyzn.catalogue.ch.KBOB2022.RenewableEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GreyEnergyTotal,vyzn.catalogue.ch.KBOB2022.GreyEnergyProduction,vyzn.catalogue.ch.KBOB2022.GreyEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsTotal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsProduction,vyzn.catalogue.ch.KBOB2022.GHGEmissionsDisposal,vyzn.catalogue.ch.KBOB2022.LCARefUnit,vyzn.catalogue.ch.KBOB2022.BiogenicCarbon,KBOB REF
"10.017.01 - Flachsfasern, feuerfest, MAGRIPOL, Premium+",KBOB2016-10.017.01,,,,MATERIAL_LIST,30,1970,1820,144.0,5.5,5.5,0.001,7.2,7.2,0.060,1.39,1.17,0.2220,kg,,10.017.01
10.001 - Glaswolle,KBOB2016-10.001,,,,MATERIAL_LIST,60,1690,1660,29.8,2.2,2.2,0.001,7.8,7.7,0.068,1.13,1.12,0.0100,kg,,10.001
"10.001.01 - Glaswolle, Isover",KBOB2016-10.001.01,,,,MATERIAL_LIST,60,1290,1260,29.8,2.6,2.6,0.001,4.5,4.5,0.068,0.80,0.79,0.0100,kg,,10.001.01
10.002 - Korkplatte,KBOB2016-10.002,,,,MATERIAL_LIST,120,1690,1530,159,7.7,7.7,0.002,6.7,6.5,0.106,1.34,1.12,0.221,kg,,10.002
10.003 - Phenolharz (PF),KBOB2016-10.003,,,,MATERIAL_LIST,40,6490,5310,1180,1,1,0.086,35,34,1.030,6.23,4.19,2.04,kg,,10.003
10.004 - Polystyrol expandiert (EPS),KBOB2016-10.004,,,,MATERIAL_LIST,27.5,5180,3610,1570,0,0,0.002,30,30,0.133,7.64,4.46,3.19,kg,,10.004
10.005 - Polystyrol extrudiert (XPS),KBOB2016-10.005,,,,MATERIAL_LIST,32.5,10800,9240,1570,1,1,0.002,29.1,28.9,0.133,14.5,11.3,3.19,kg,,10.005
10.006 - Polyurethan (PUR/PIR),KBOB2016-10.006,,,,MATERIAL_LIST,30,6630,5110,1510,1,1,0.01,30,30,0.64,7.52,4.80,2.72,kg,,10.006
10.007 - Schaumglas,KBOB2016-10.007,,,,MATERIAL_LIST,132.5,1040,1020,18.6,1.9,1.9,0.001,5.3,5.3,0.068,1.17,1.16,0.0100,kg,,10.007
10.013 - Schaumglasschotter,KBOB2016-10.013,,,,MATERIAL_LIST,137.5,323,309,14.2,0.3,0.3,0.000,1.7,1.7,0.054,0.16,0.15,0.0071,kg,,10.013
"10.013.01 - Schaumglasschotter, Misapor",KBOB2016-10.013.01,,,,MATERIAL_LIST,137.5,276,262,14.2,0.2,0.2,0.000,1.6,1.5,0.054,0.13,0.12,0.0071,kg,,10.013.01
10.008 - Steinwolle,KBOB2016-10.008,,,,MATERIAL_LIST,96,1140,1110,29.8,0.3,0.3,0.001,4.3,4.3,0.068,1.13,1.12,0.0100,kg,,10.008
"10.008.01 - Steinwolle, Flumroc",KBOB2016-10.008.01,,,,MATERIAL_LIST,96,1040,1010,29.8,0.3,0.3,0.001,4.0,3.9,0.068,1.06,1.05,0.0100,kg,,10.008.01
10.015 - Strohballenwand,KBOB2016-10.015,,,,MATERIAL_LIST,215,562,562,0.0,4.8,4.8,0.000,0.2,0.2,0.000,0.09,0.09,0.0000,kg,,10.015
10.009 - Weichfaserplatte,KBOB2016-10.009,,,,MATERIAL_LIST,148,860,816,43.6,7.0,7.0,0.001,3.5,3.5,0.041,0.665,0.624,0.0414,kg,,10.009
"10.009.01 - Weichfaserplatte, Pavatex",KBOB2016-10.009.01,,,,MATERIAL_LIST,140,691,648,43.6,6.9,6.9,0.001,3.1,3.1,0.041,0.45,0.40,0.0414,kg,,10.009.01
10.010 - Zellulosefasern,KBOB2016-10.010,,,,MATERIAL_LIST,47.5,418,332,86.2,0.24,0.24,0.002,1.03,0.93,0.102,0.257,0.216,0.0405,kg,,10.01
"10.010.01 - Zellulosefasern, Isofloc",KBOB2016-10.010.01,,,,MATERIAL_LIST,47.5,339,253,86.2,0.23,0.23,0.002,0.79,0.68,0.102,0.203,0.163,0.0405,kg,,10.010.01
"11.001 - 2K-Fliessbelag Industrie (Epoxidharz), 2.25 mm",KBOB2016-11.001,,,,MATERIAL_LIST,4.55,28900,25500,3430,1,1,0.02,65,64,1.58,17.20,11.10,6.09,m2,,11.001
"11.002 - 2K-Fliessbelag Wohnen/Verwaltung (Epoxidharz, PU), 2 mm",KBOB2016-11.002,,,,MATERIAL_LIST,3.6,21100,18200,2980,2,2,0.02,62,61,1.54,15.20,10.00,5.19,m2,,11.002
"11.003 - Gummigranulat versiegelt, 7.5 mm",KBOB2016-11.003,,,,MATERIAL_LIST,8.25,23500,16700,6780,2,2,0.04,112,110,2.15,27.5,14.9,12.6,m2,,11.003
"11.004 - Gussasphalt, 27.5 mm",KBOB2016-11.004,,,,MATERIAL_LIST,63.3,24500,16800,7680,3,3,0.1,126,120,5.6,14.10,12.90,1.17,m2,,11.004
"11.005 - Hartbeton einschichtig, 27.5 mm",KBOB2016-11.005,,,,MATERIAL_LIST,57.8,18800,18600,214,2,2,0.00,50,49,0.51,16.9,16.8,0.0850,m2,,11.005
"11.006 - Hartbeton zweischichtig, 35 mm",KBOB2016-11.006,,,,MATERIAL_LIST,73.5,19400,19100,270,2,2,0.01,45,44,0.64,16.8,16.7,0.107,m2,,11.006
"11.007 - Kautschuk, 2 mm",KBOB2016-11.007,,,,MATERIAL_LIST,3.36,14900,12300,2600,10,10,0.02,60,60,0.54,15.7,10.9,4.78,m2,,11.007
"11.008 - Keramik-/Steinzeugplatte, 9 mm",KBOB2016-11.008,,,,MATERIAL_LIST,18,44200,43700,464,4,4,0.03,69,68,0.91,14.0,13.8,0.163,m2,,11.008
"11.009 - Kork Fertigparkett, 10.5 mm",KBOB2016-11.009,,,,MATERIAL_LIST,7.8,11000,9740,1210,39,39,0.01,47,46,0.63,9.68,8.02,1.66,m2,,11.009
"11.010 - Kork PVC-beschichtet, 3.2 mm",KBOB2016-11.010,,,,MATERIAL_LIST,2.7,7200,5650,1550,8,8,0.01,34,34,0.36,7.58,4.76,2.82,m2,,11.01
"11.011 - Korkparkett geölt/versiegelt, 5.3 mm",KBOB2016-11.011,,,,MATERIAL_LIST,2.7,3020,2620,401,11.8,11.7,0.004,11.1,10.9,0.186,2.56,1.97,0.585,m2,,11.011
"11.012 - Kunststeinplatte zementgebunden, 10 mm",KBOB2016-11.012,,,,MATERIAL_LIST,21.5,4940,4390,554,0.7,0.7,0.04,8.5,7.4,1.09,5.04,4.85,0.194,m2,,11.012
"11.013 - Laminat, 8.5 mm",KBOB2016-11.013,,,,MATERIAL_LIST,8.5,10300,10000,248,38,38,0.00,45,44,0.29,8.47,8.38,0.0881,m2,,11.013
"11.014 - Linoleum, 2.5 mm",KBOB2016-11.014,,,,MATERIAL_LIST,2.9,10800,10400,378,19,19,0.004,26.9,26.7,0.270,6.36,5.90,0.462,m2,,11.014
"11.015 - Natursteinplatte geschliffen, 15 mm",KBOB2016-11.015,,,,MATERIAL_LIST,40.5,32000,31000,1040,16,16,0.07,137,135,2.05,16.2,15.8,0.366,m2,,11.015
"11.015.01 - Natursteinplatte geschliffen, Europa, 15 mm",KBOB2016-11.015.01,,,,MATERIAL_LIST,40.5,30300,29200,1040.0,16.30,16.20,0.072,134.00,132.00,2.050,15.300,14.900,0.3660,m2,,11.015.01
"11.015.02 - Natursteinplatte geschliffen, Schweiz, 15 mm",KBOB2016-11.015.02,,,,MATERIAL_LIST,40.5,25300,24300,1040.0,16.00,16.00,0.072,118.00,116.00,2.050,11.900,11.600,0.3660,m2,,11.015.02
"11.015.03 - Natursteinplatte geschliffen, Übersee, 15 mm",KBOB2016-11.015.03,,,,MATERIAL_LIST,40.5,34900,33900,1040.0,16.60,16.50,0.072,144.00,142.00,2.050,17.900,17.500,0.3660,m2,,11.015.03
"11.016 - Natursteinplatte geschnitten, 15 mm",KBOB2016-11.016,,,,MATERIAL_LIST,40.5,24800,23800,1040,11,11,0.07,102,100,2.05,13.20,12.90,0.366,m2,,11.016
"11.017 - Natursteinplatte poliert, 15 mm",KBOB2016-11.017,,,,MATERIAL_LIST,40.5,55100,54000,1040,21,21,0.07,167,165,2.05,18.6,18.2,0.366,m2,,11.017
"11.018 - Parkett 2-Schicht werkversiegelt, 11 mm",KBOB2016-11.018,,,,MATERIAL_LIST,6.1,12700,12600,159,86,86,0.00,45,44,0.18,7.5,7.45,0.06,m2,,11.018
"11.019 - Parkett 3-Schicht werkversiegelt, 15 mm",KBOB2016-11.019,,,,MATERIAL_LIST,7.9,17100,16800,216,148,148,0.00,46,45,0.25,8.2,8.16,0.08,m2,,11.019
"11.020 - Parkett Mosaik werkversiegelt, 8 mm",KBOB2016-11.020,,,,MATERIAL_LIST,5.6,7920,7790,134,78,78,0.00,26,26,0.16,3.4,3.38,0.05,m2,,11.02
"11.021 - PVC homogen, 2 mm",KBOB2016-11.021,,,,MATERIAL_LIST,3.1,12400,9350,3050,2,2,0.18,58,55,2.32,13.4,8.12,5.24,m2,,11.021
"11.022 - Steinholz versiegelt, 16.5 mm",KBOB2016-11.022,,,,MATERIAL_LIST,22,8790,8460,330,0.9,0.9,0.01,26.0,24.8,1.26,12.8,12.7,0.164,m2,,11.022
"11.023 - Synthetische thermoplastische Beläge (TPO), 2 mm",KBOB2016-11.023,,,,MATERIAL_LIST,3.4,8420,5630,2790,3,3,0.02,44,43,0.68,11.0,5.86,5.10,m2,,11.023
11.024 - Teppich Kunstfaser getuftet,KBOB2016-11.024,,,,MATERIAL_LIST,2.1,10900,8640,2270,1,1,0.01,50,50,0.40,14.9,10.5,4.41,m2,,11.024
11.025 - Teppich Nadelfilz,KBOB2016-11.025,,,,MATERIAL_LIST,1.3,6960,5080,1880,1,1,0.01,34,34,0.274,9.65,5.97,3.68,m2,,11.025
11.026 - Teppich Naturfaser,KBOB2016-11.026,,,,MATERIAL_LIST,2.7,9640,8930,710,10.8,10.8,0.006,15.7,15.5,0.241,4.41,3.26,1.16,m2,,11.026
"11.027 - Terrazzo versiegelt, 40 mm",KBOB2016-11.027,,,,MATERIAL_LIST,95,18800,18500,339,4,4,0.01,45,44,0.81,17.8,17.6,0.135,m2,,11.027
"12.001 - Aussentüre, Holz, aluminiumbeplankt",KBOB2016-12.001,,,,MATERIAL_LIST,,166000,161000,4680,175,175,0.1,330,321,8.7,77.6,74.3,3.27,m2,,12.001
"12.002 - Aussentüre, Holz, Glaseinsatz",KBOB2016-12.002,,,,MATERIAL_LIST,,183000,178000,5500,122,121,0.1,411,403,8.4,97.7,92.1,5.62,m2,,12.002
"12.003 - Innentüre, Holz",KBOB2016-12.003,,,,MATERIAL_LIST,,58700,53300,5370,290,290,0.1,193,189,4.1,43.0,35.3,7.73,m2,,12.003
"12.004 - Innentüre, Holz, Glaseinsatz",KBOB2016-12.004,,,,MATERIAL_LIST,,87800,77200,10600,245,245,0.3,308,287,20.5,69.0,57.4,11.6,m2,,12.004
13.001 - Acrylnitril-Butadien-Styrol (ABS),KBOB2016-13.001,,,,MATERIAL_LIST,1050,5380,3890,1480,0,0,0.002,29,29,0.132,7.94,4.91,3.03,kg,,13.001
13.005 - Gusseisen,KBOB2016-13.005,,,,MATERIAL_LIST,7850,4200,4200,0,0.2,0.2,0.0,6.6,6.6,0.0,1.51,1.51,0.00,kg,,13.005
13.002 - Polyethylen (PE),KBOB2016-13.002,,,,MATERIAL_LIST,960,3410,1920,1480,0.5,0.5,0.002,23.2,23.1,0.132,5.41,2.38,3.03,kg,,13.002
13.003 - Polypropylen (PP),KBOB2016-13.003,,,,MATERIAL_LIST,910,3430,1940,1480,0.4,0.4,0.002,22.7,22.6,0.132,5.43,2.40,3.03,kg,,13.003
"13.003.01 - Polypropylen (PP), rezykliert, Rehau",KBOB2016-13.003.01,,,,MATERIAL_LIST,910,2840,1360,1480,0.8,0.8,0.002,9.0,8.9,0.132,4.60,1.570,3.03,kg,,13.003.01
13.004 - Polyvinylchlorid (PVC),KBOB2016-13.004,,,,MATERIAL_LIST,1390,4400,3220,1180,0.6,0.6,0.09,19.5,18.5,1.03,4.42,2.38,2.04,kg,,13.004
"14.002 - Anstrich, lösemittelverdünnbar, 2 Anstriche",KBOB2016-14.002,,,,MATERIAL_LIST,0.3,1960,1480,471,0.4,0.4,0.001,6.5,6.5,0.0,1.600,0.877,0.719,m2,,14.002
"14.001 - Anstrich, wasserverdünnbar, 2 Anstriche",KBOB2016-14.001,,,,MATERIAL_LIST,0.3,1230,759,471,0.1,0.1,0.001,4.2,4.2,0.0,1.360,0.644,0.719,m2,,14.001
"14.003 - Bitumenemulsion, 1 Anstrich",KBOB2016-14.003,,,,MATERIAL_LIST,0.25,626,331,295,0.02,0.02,0.002,1.9,1.9,0.1,0.706,0.113,0.593,m2,,14.003
"14.004 - Emaillieren, Metall",KBOB2016-14.004,,,,MATERIAL_LIST,,10500,10500,0,4,4,0,44,44,0,8.11,8.11,0,m2,,14.004
"14.005 - Pulverbeschichten, Aluminium",KBOB2016-14.005,,,,MATERIAL_LIST,,4470,4470,0,0.6,0.6,0,17.3,17.3,0,3.72,3.72,0,m2,,14.005
"14.006 - Pulverbeschichten, Stahl",KBOB2016-14.006,,,,MATERIAL_LIST,,4740,4740,0,0.8,0.8,0,22.1,22.1,0,4.50,4.50,0,m2,,14.006
"14.007 - Verchromen, Stahl",KBOB2016-14.007,,,,MATERIAL_LIST,,7120,7120,0,0.8,0.8,0,5.0,5.0,0,0.582,0.582,0,m2,,14.007
"14.008 - Verzinken, Stahl",KBOB2016-14.008,,,,MATERIAL_LIST,,41100,41100,0,3,3,0,25.9,25.9,0,6.01,6.01,0,m2,,14.008
"15.001 - Plexiglas (PMMA, Acrylglas)",KBOB2016-15.001,,,,MATERIAL_LIST,1180,9050,7570,1480,0,0,0.002,40,40,0.132,11.7,8.68,3.03,kg,,15.001
15.002 - Polyamid (PA) glasfaserverstärkt,KBOB2016-15.002,,,,MATERIAL_LIST,1360,7730,7350,377,1,1,0.002,40,40,0.129,9.60,8.89,0.714,kg,,15.002
