Name,ProductKey,Description,Picture,Product sections,Type,vyzn.catalogue.Density,vyzn.catalogue.ch.KBOB2022.UBPTotal,vyzn.catalogue.ch.KBOB2022.UBPProduction,vyzn.catalogue.ch.KBOB2022.UBPDisposal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyTotal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyProduction,vyzn.catalogue.ch.KBOB2022.RenewableEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GreyEnergyTotal,vyzn.catalogue.ch.KBOB2022.GreyEnergyProduction,vyzn.catalogue.ch.KBOB2022.GreyEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsTotal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsProduction,vyzn.catalogue.ch.KBOB2022.GHGEmissionsDisposal,vyzn.catalogue.ch.KBOB2022.LCARefUnit,vyzn.catalogue.ch.KBOB2022.BiogenicCarbon,KBOB REF
"5.002 - Isolierverglasung 2-fach, VSG, Ug-Wert 1.1 W/m2K 3",5.002 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,,128000,120000,8740,21,21,0,324,320,4,79.4,72.7,6.68,m2,0,5.002
"5.011 - Isolierverglasung 2-fach, ESG/VSG, Ug-Wert 1.1 W/m2K 3",5.011 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,,145000,136000,8740,29,29,0,373,369,4,87.2,80.5,6.68,m2,0,5.011
"5.003 - Isolierverglasung 3-fach, Ug-Wert 0.5 W/m2K, Dicke 36 mm 3",5.003 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,,128000,121000,6840,23,22,0,320,316,4,78.4,73.4,4.92,m2,0,5.003
"5.012 - Isolierverglasung 3-fach, Ug-Wert 0.6 W/m2K, Dicke 40 mm 3",5.012 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,,110000,103000,7690,16,16,0,255,251,4,67.9,62.2,5.71,m2,0,5.012
"5.013 - Isolierverglasung 3-fach, ESG/ESG, Ug-Wert 0.6 W/m2K 3",5.013 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,,143000,135000,7690,33,32,0,353,349,4,83.4,77.7,5.71,m2,0,5.013
"5.014 - Isolierverglasung 3-fach, ESG/ESG/ESG, Ug-Wert 0.6 W/m2K 3",5.014 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,,159000,151000,7690,41,41,0,402,398,4,91.2,85.5,5.71,m2,0,5.014
"5.015 - Isolierverglasung 3-fach, VSG, Ug-Wert 0.6 W/m2K 3",5.015 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,,168000,156000,11500,27,26,1,412,406,6,103,94.2,8.79,m2,0,5.015
"5.016 - Isolierverglasung 3-fach, ESG/VSG, Ug-Wert 0.6 W/m2K 3",5.016 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,,186000,174000,11500,35,35,1,465,459,6,112,103,8.79,m2,0,5.016
5.02 - Putzträgerplatte kunstharzgebunden 13 mm,5.02 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,6.3,16700,16400,269,3.58,4,0,44.3,44,0,8.12,8.04,0.0807,m2,0,5.02
5.021 - Putzträgerplatte mineralisch gebunden 12.5 mm,5.021 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,14.4,9940,9320,615,2.44,2,0,19.1,18,1,6.32,6.13,0.185,m2,0,5.021
"5.026 - Rahmenverbreiterung, PVC",5.026 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,15,99800,66500,33300,41.8,41,1,306,294,13,69.7,39.6,30.1,m2,1,5.026
"5.027 - Rahmenverbreiterung, Spanplatte",5.027 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,17.8,43600,36000,7600,94.4,94,0,124,121,4,26.1,19.5,6.59,m2,7,5.027
"5.018 - Sonnenschutz, Ausstellstoren motorisiert 4",5.018 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,,151000,149000,2110,36,35,0,283,282,1,68,66,2,m2,0,5.018
"5.017 - Sonnenschutz, Lamellenstoren motorisiert 4",5.017 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,,133000,131000,1620,32,32,0,249,249,0,60,59,1,m2,0,5.017
"5.019 - Sonnenschutz, Rollladen motorisiert 4",5.019 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,,168000,167000,801,44,44,0,314,313,0,75,74,1,m2,0,5.019
"6.001 - Aluminiumblech, blank",6.001 - KBOB / ecobau / IPB  2009/1:2022,,,,MATERIAL_LIST,2690,12500,12500,19.9,5,5,0,25,25,0,5.59,5.58,0.00798,kg,0,6.001
