Name,ProductKey,Description,Picture,Product sections,Type,vyzn.catalogue.Density,vyzn.catalogue.ch.KBOB2022.UBPTotal,vyzn.catalogue.ch.KBOB2022.UBPProduction,vyzn.catalogue.ch.KBOB2022.UBPDisposal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyTotal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyProduction,vyzn.catalogue.ch.KBOB2022.RenewableEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GreyEnergyTotal,vyzn.catalogue.ch.KBOB2022.GreyEnergyProduction,vyzn.catalogue.ch.KBOB2022.GreyEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsTotal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsProduction,vyzn.catalogue.ch.KBOB2022.GHGEmissionsDisposal,vyzn.catalogue.ch.KBOB2022.LCARefUnit,vyzn.catalogue.ch.KBOB2022.BiogenicCarbon,KBOB REF,vyzn.catalogue.SourceENV
"34.027.06 Fassadenunterkonstruktion, integriert, Betonuntergrund, Ecolite",KBOB2022-34.027.06,,,,MATERIAL_LIST,,99800.0,98600.0,1200.0,38.3,38.3,0.00263,222.0,222.0,0.082,50.1,49.0,1.15,m2,,38A83C73-92BD-492B-B435-97332A84863E,KBOB 2022 V4
"34.027.07 Fassadenunterkonstruktion, integriert, Backsteinuntergrund, Ecolite",KBOB2022-34.027.07,,,,MATERIAL_LIST,,117000.0,115000.0,1790.0,44.1,44.1,0.00392,261.0,261.0,0.122,59.4,57.7,1.72,m2,,DB2B00A9-DBF6-CA2A-BAC1-9BCCE4E4846A,KBOB 2022 V4
"34.027.08 Fassadenunterkonstruktion, integriert, Durchschnitt, Ecolite",KBOB2022-34.027.08,,,,MATERIAL_LIST,,110000.0,109000.0,1550.0,41.8,41.8,0.0034,245.0,245.0,0.106,55.7,54.2,1.49,m2,,a3868d35-8eaf-47d0-be53-2f7e988a1cce,KBOB 2022 V4
"34.027.09 Solarpanel, Mono-Si, Eternit Sunskin Facade, 18.0%",KBOB2022-34.027.09,,,,MATERIAL_LIST,,241000.0,234000.0,7400.0,43.7,43.1,0.546,466.0,458.0,8.31,132.0,126.0,5.39,m2,,3c956888-cdbf-42fa-8759-172ed1f7822d,KBOB 2022 V4
"34.027.10 Solarpanel, Mono-Si, Kioto Solar PVP-GExxxM, 12.5%",KBOB2022-34.027.10,,,,MATERIAL_LIST,,243000.0,235000.0,7870.0,43.8,43.2,0.58,468.0,459.0,8.83,133.0,127.0,5.73,m2,,B787C33A-9D88-414E-84DE-3E087E3639ED,KBOB 2022 V4
"34.027.11 Solarpanel, Mono-Si, Vogelsang-Kioto Solar, 9.1%",KBOB2022-34.027.11,,,,MATERIAL_LIST,,243000.0,235000.0,8050.0,44.2,43.6,0.594,471.0,462.0,9.03,134.0,128.0,5.86,m2,,8FE3FD69-2400-4DC4-933B-E91CDE601165,KBOB 2022 V4
"34.027.12 Solarpanel, CIS, StoVentec Artline inlay, 9.5%",KBOB2022-34.027.12,,,,MATERIAL_LIST,,182000.0,171000.0,11100.0,39.0,37.5,1.48,418.0,391.0,26.9,102.0,96.2,6.08,m2,,8B49329A-8573-47FC-8D1A-9F2E4640C4E6,KBOB 2022 V4
"34.027.13 Solarpanel, CIS, StoVentec Artline invisible, 9.5%",KBOB2022-34.027.13,,,,MATERIAL_LIST,,147000.0,137000.0,10000.0,25.6,24.3,1.33,364.0,340.0,24.3,85.9,80.4,5.49,m2,,1300707C-F4F2-4FDC-AF3B-E31F5840F18E,KBOB 2022 V4
34.028 Solarstromanlage Schrägdach Mono-Si1,KBOB2022-34.028,,,,MATERIAL_LIST,,2940000.0,2940000.0,,505.0,505.0,,4530.0,4530.0,,1260.0,1260.0,,kWp,,805e0a9f-a660-4446-b7df-f9c3b43824c2,KBOB 2022 V4
34.029 Solarstromanlage Schrägdach Multi-Si1,KBOB2022-34.029,,,,MATERIAL_LIST,,2980000.0,2980000.0,,522.0,522.0,,4560.0,4560.0,,1250.0,1250.0,,kWp,,1A0D933D-B136-4441-B98F-6E6FFD1DFDD8,KBOB 2022 V4
34.030 Solarstromanlage Schrägdach CdTe1,KBOB2022-34.030,,,,MATERIAL_LIST,,2050000.0,2050000.0,,319.0,319.0,,3250.0,3250.0,,792.0,792.0,,kWp,,B6F7B71D-25CE-45F6-BA5A-1A786AC69E0B,KBOB 2022 V4
34.031 Solarstromanlage Schrägdach CIS1,KBOB2022-34.031,,,,MATERIAL_LIST,,2590000.0,2590000.0,,502.0,502.0,,4600.0,4600.0,,1080.0,1080.0,,kWp,,A5A3BA1D-7F7F-4677-9E1C-3545B9DF79BA,KBOB 2022 V4
34.032 Wechselrichter 2.5 kW1,KBOB2022-34.032,,,,MATERIAL_LIST,,533000.0,533000.0,,63.0,63.0,,621.0,621.0,,144.0,144.0,,kWp,,D3586070-8058-4A67-BC89-68508822DA21,KBOB 2022 V4
34.033 Wechselrichter 5 kW1,KBOB2022-34.033,,,,MATERIAL_LIST,,427000.0,427000.0,,50.5,50.5,,498.0,498.0,,115.0,115.0,,kWp,,84E2D4F6-D61F-4EDF-9D13-7DA1543A7887,KBOB 2022 V4
34.034 Wechselrichter 10 kW1,KBOB2022-34.034,,,,MATERIAL_LIST,,342000.0,342000.0,,40.4,40.4,,399.0,399.0,,92.4,92.4,,kWp,,FA96A840-32DF-4C9A-935F-19037F653A62,KBOB 2022 V4
34.035 Wechselrichter 20 kW1,KBOB2022-34.035,,,,MATERIAL_LIST,,274000.0,274000.0,,32.4,32.4,,319.0,319.0,,74.0,74.0,,kWp,,985B3DC3-846D-49CE-9067-8F50B4FE70D7,KBOB 2022 V4
"34.036 Elektroinstallation, Photovoltaikanlage1",KBOB2022-34.036,,,,MATERIAL_LIST,,167000.0,167000.0,,10.2,10.2,,170.0,170.0,,42.1,42.1,,kWp,,3A9DAB99-F63E-4DC7-9D95-2789F2A46143,KBOB 2022 V4
