Name,ProductKey,Description,Picture,Product sections,Type,vyzn.catalogue.Density,vyzn.catalogue.ch.KBOB2022.UBPTotal,vyzn.catalogue.ch.KBOB2022.UBPProduction,vyzn.catalogue.ch.KBOB2022.UBPDisposal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyTotal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyProduction,vyzn.catalogue.ch.KBOB2022.RenewableEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GreyEnergyTotal,vyzn.catalogue.ch.KBOB2022.GreyEnergyProduction,vyzn.catalogue.ch.KBOB2022.GreyEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsTotal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsProduction,vyzn.catalogue.ch.KBOB2022.GHGEmissionsDisposal,vyzn.catalogue.ch.KBOB2022.LCARefUnit,vyzn.catalogue.ch.KBOB2022.BiogenicCarbon,KBOB REF,vyzn.catalogue.SourceENV,categoryPath
"11.014 Linoleum, 2.5 mm (KBOB.2022v5)","11.014 Linoleum, 2.5 mm (KBOB.2022v5)",,,,MATERIAL,,15800.000000,15100.000000,728.000000,19.300000,19.300000,0.036200,26.300000,25.900000,0.437000,6.360000,5.840000,0.516000,m2,0.786000,,KBOB 2022 V5,Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"11.015 Natursteinplatte geschliffen, 15 mm (KBOB.2022v5)","11.015 Natursteinplatte geschliffen, 15 mm (KBOB.2022v5)",,,,MATERIAL,,41900.000000,40200.000000,1720.000000,19.800000,19.700000,0.089300,118.000000,116.000000,2.130000,16.800000,16.300000,0.514000,m2,0.000000,,KBOB 2022 V5,Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"11.015.01 Natursteinplatte geschliffen, Europa, 15 mm (KBOB.2022v5)","11.015.01 Natursteinplatte geschliffen, Europa, 15 mm (KBOB.2022v5)",,,,MATERIAL,,40700.000000,39000.000000,1720.000000,19.900000,19.800000,0.089300,117.000000,115.000000,2.130000,16.600000,16.100000,0.514000,m2,0.000000,,KBOB 2022 V5,Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"11.015.02 Natursteinplatte geschliffen, Schweiz, 15 mm (KBOB.2022v5)","11.015.02 Natursteinplatte geschliffen, Schweiz, 15 mm (KBOB.2022v5)",,,,MATERIAL,,34800.000000,33100.000000,1720.000000,19.200000,19.100000,0.089300,104.000000,102.000000,2.130000,13.400000,12.800000,0.514000,m2,0.000000,,KBOB 2022 V5,Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"11.015.03 Natursteinplatte geschliffen, Übersee, 15 mm (KBOB.2022v5)","11.015.03 Natursteinplatte geschliffen, Übersee, 15 mm (KBOB.2022v5)",,,,MATERIAL,,44500.000000,42800.000000,1720.000000,19.900000,19.800000,0.089300,122.000000,120.000000,2.130000,17.900000,17.400000,0.514000,m2,0.000000,,KBOB 2022 V5,Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"11.016 Natursteinplatte geschnitten, 15 mm (KBOB.2022v5)","11.016 Natursteinplatte geschnitten, 15 mm (KBOB.2022v5)",,,,MATERIAL,,32000.000000,30200.000000,1720.000000,13.500000,13.400000,0.089300,87.600000,85.500000,2.130000,13.400000,12.900000,0.514000,m2,0.000000,,KBOB 2022 V5,Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"11.017 Natursteinplatte poliert, 15 mm (KBOB.2022v5)","11.017 Natursteinplatte poliert, 15 mm (KBOB.2022v5)",,,,MATERIAL,,69700.000000,68000.000000,1720.000000,25.200000,25.100000,0.089300,144.000000,142.000000,2.130000,19.600000,19.100000,0.514000,m2,0.000000,,KBOB 2022 V5,Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"11.018 Parkett 2-Schicht werkversiegelt, 11 mm (KBOB.2022v5)","11.018 Parkett 2-Schicht werkversiegelt, 11 mm (KBOB.2022v5)",,,,MATERIAL,,16100.000000,15600.000000,490.000000,87.700000,87.600000,0.037600,42.300000,41.700000,0.563000,7.800000,7.470000,0.337000,m2,2.690000,,KBOB 2022 V5,Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"11.019 Parkett 3-Schicht werkversiegelt, 15 mm (KBOB.2022v5)","11.019 Parkett 3-Schicht werkversiegelt, 15 mm (KBOB.2022v5)",,,,MATERIAL,,18100.000000,17500.000000,635.000000,145.000000,145.000000,0.048700,40.300000,39.600000,0.729000,8.090000,7.650000,0.437000,m2,3.540000,,KBOB 2022 V5,Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"11.020 Parkett Mosaik werkversiegelt, 8 mm (KBOB.2022v5)","11.020 Parkett Mosaik werkversiegelt, 8 mm (KBOB.2022v5)",,,,MATERIAL,,9020.000000,8670.000000,352.000000,90.000000,89.900000,0.034300,23.300000,22.800000,0.497000,3.570000,3.350000,0.218000,m2,2.230000,,KBOB 2022 V5,Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"11.021 PVC homogen, 2 mm (KBOB.2022v5)","11.021 PVC homogen, 2 mm (KBOB.2022v5)",,,,MATERIAL,,20600.000000,13500.000000,7140.000000,2.290000,1.980000,0.303000,58.200000,55.000000,3.190000,14.400000,8.160000,6.220000,m2,0.000000,,KBOB 2022 V5,Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"11.022 Steinholz versiegelt, 16.5 mm (KBOB.2022v5)","11.022 Steinholz versiegelt, 16.5 mm (KBOB.2022v5)",,,,MATERIAL,,16400.000000,15400.000000,935.000000,0.990000,0.942000,0.048500,25.100000,24.000000,1.160000,12.900000,12.700000,0.279000,m2,0.000000,,KBOB 2022 V5,Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"11.023 Synthetische thermoplastische Beläge (TPO), 2 mm (KBOB.2022v5)","11.023 Synthetische thermoplastische Beläge (TPO), 2 mm (KBOB.2022v5)",,,,MATERIAL,,20000.000000,9510.000000,10400.000000,3.220000,3.190000,0.030300,43.300000,42.600000,0.638000,16.000000,5.870000,10.100000,m2,0.000000,,KBOB 2022 V5,Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
11.024 Teppich Kunstfaser getuftet (KBOB.2022v5),11.024 Teppich Kunstfaser getuftet (KBOB.2022v5),,,,MATERIAL,,21100.000000,14700.000000,6470.000000,0.600000,0.582000,0.018700,50.000000,49.600000,0.394000,16.700000,10.500000,6.250000,m2,0.000000,,KBOB 2022 V5,Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
