Name,ProductKey,Description,Picture,Product sections,Type,vyzn.catalogue.Density,vyzn.catalogue.ch.KBOB2022.UBPTotal,vyzn.catalogue.ch.KBOB2022.UBPProduction,vyzn.catalogue.ch.KBOB2022.UBPDisposal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyTotal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyProduction,vyzn.catalogue.ch.KBOB2022.RenewableEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GreyEnergyTotal,vyzn.catalogue.ch.KBOB2022.GreyEnergyProduction,vyzn.catalogue.ch.KBOB2022.GreyEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsTotal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsProduction,vyzn.catalogue.ch.KBOB2022.GHGEmissionsDisposal,vyzn.catalogue.ch.KBOB2022.LCARefUnit,vyzn.catalogue.ch.KBOB2022.BiogenicCarbon,KBOB REF,vyzn.catalogue.SourceENV
"Kleinblockheizkraftwerk, Erdgas (KBOB44.008 )",KBOB2022-44.008-M,,,,MATERIAL,,131.000,,,0.00,,,0.47,,,0.11,,,kWp,,1300707C-F4F2-4FDC-AF3B-E31F5840F18E,KBOB 2022 V4
Solarthermieanlage Schrägdach mit Erdsondenregeneration (KBOB44.018 ),KBOB2022-44.018-M,,,,MATERIAL,,38.900,,,1.14,,,0.06,,,0.01,,,kWp,,805e0a9f-a660-4446-b7df-f9c3b43824c2,KBOB 2022 V4
Solarthermieanlage Schrägdach mit Warmwasserspeicher (KBOB44.019 ),KBOB2022-44.019-M,,,,MATERIAL,,45.100,,,1.14,,,0.07,,,0.02,,,kWp,,1A0D933D-B136-4441-B98F-6E6FFD1DFDD8,KBOB 2022 V4
Atomkraftwerk (KBOB45.001 ),KBOB2022-45.001-M,,,,MATERIAL,,674.000,,,0.01,,,4.21,,,0.02,,,kWp,,B6F7B71D-25CE-45F6-BA5A-1A786AC69E0B,KBOB 2022 V4
Erdgaskombikraftwerk GuD (KBOB45.002 ),KBOB2022-45.002-M,,,,MATERIAL,,621.000,,,0.01,,,2.22,,,0.48,,,kWp,,A5A3BA1D-7F7F-4677-9E1C-3545B9DF79BA,KBOB 2022 V4
Erdgaskraftwerk (KBOB45.024 ),KBOB2022-45.024-M,,,,MATERIAL,,944.000,,,0.01,,,3.37,,,0.74,,,kWp,,D3586070-8058-4A67-BC89-68508822DA21,KBOB 2022 V4
Braunkohlekraftwerk (KBOB45.023 ),KBOB2022-45.023-M,,,,MATERIAL,,1610.000,,,0.01,,,3.93,,,1.36,,,kWp,,84E2D4F6-D61F-4EDF-9D13-7DA1543A7887,KBOB 2022 V4
Steinkohlekraftwerk (KBOB45.003 ),KBOB2022-45.003-M,,,,MATERIAL,,1530.000,,,0.04,,,3.87,,,1.23,,,,,FA96A840-32DF-4C9A-935F-19037F653A62,KBOB 2022 V4
Kraftwerk Schweröl (KBOB45.004 ),KBOB2022-45.004-M,,,,MATERIAL,,1570.000,,,0.02,,,3.73,,,1.07,,,,,985B3DC3-846D-49CE-9067-8F50B4FE70D7,KBOB 2022 V4
Kehrichtverbrennung (KBOB45.005 ),KBOB2022-45.005-M,,,,MATERIAL,,55.600,,,0.00,,,0.01,,,0.01,,,,,3A9DAB99-F63E-4DC7-9D95-2789F2A46143,KBOB 2022 V4
Heizkraftwerk Holz (KBOB45.006 ),KBOB2022-45.006-M,,,,MATERIAL,,172.000,,,1.93,,,0.13,,,0.04,,,,,BE39AA2B-67C3-4306-AD5D-5261E43D632D,KBOB 2022 V4
Blockheizkraftwerk Diesel (KBOB45.007 ),KBOB2022-45.007-M,,,,MATERIAL,,1180.000,,,0.02,,,3.21,,,0.84,,,,,76D9CFC6-6174-4644-829E-1020C95D5322,KBOB 2022 V4
Blockheizkraftwerk Gas (KBOB45.008 ),KBOB2022-45.008-M,,,,MATERIAL,,825.000,,,0.01,,,2.83,,,0.65,,,,,D4AB5F70-61BE-4668-8A2C-FF1C755A1728,KBOB 2022 V4
Blockheizkraftwerk Biogas (KBOB45.009 ),KBOB2022-45.009-M,,,,MATERIAL,,509.000,,,0.08,,,0.82,,,0.36,,,,,9BD4C9E4-4499-4215-9215-2EF12370ACE6,KBOB 2022 V4
Photovoltaik (KBOB45.011 ),KBOB2022-45.011-M,,,,MATERIAL,,151.000,,,1.20,,,0.16,,,0.05,,,,,412F0DEF-2F16-4D81-95CF-2A7394086B28,KBOB 2022 V4
Photovoltaik Schrägdach (KBOB45.012 ),KBOB2022-45.012-M,,,,MATERIAL,,145.000,,,1.20,,,0.15,,,0.04,,,,,A8D1862B-6EEC-48B6-83BC-8EFACE342122,KBOB 2022 V4
Photovoltaik Flachdach (KBOB45.013 ),KBOB2022-45.013-M,,,,MATERIAL,,156.000,,,1.20,,,0.17,,,0.05,,,,,868CB13D-7EF0-454B-B4FD-AE2B04538206,KBOB 2022 V4
Photovoltaik Fassade (KBOB45.014 ),KBOB2022-45.014-M,,,,MATERIAL,,222.000,,,1.21,,,0.25,,,0.07,,,,,324E5DE0-FEB1-49C3-9188-F1AA0E119514,KBOB 2022 V4
Photovoltaik Schrägdach Mono-Si (KBOB45.027 ),KBOB2022-45.027-M,,,,MATERIAL,,177.000,,,1.20,,,0.19,,,0.05,,,,,333331BA-98CA-49BD-887A-D65AA4D5B2C4,KBOB 2022 V4
Photovoltaik Schrägdach Multi-Si (KBOB45.028 ),KBOB2022-45.028-M,,,,MATERIAL,,179.000,,,1.21,,,0.19,,,0.05,,,,,3B956811-9D40-452C-BAC2-FBA122630C43,KBOB 2022 V4
Photovoltaik Schrägdach CdTe (KBOB45.029 ),KBOB2022-45.029-M,,,,MATERIAL,,144.000,,,1.20,,,0.14,,,0.04,,,,,B0F22D3F-709D-408F-9ACA-1533FA4C7F45,KBOB 2022 V4
Photovoltaik Schrägdach CIS (KBOB45.030 ),KBOB2022-45.030-M,,,,MATERIAL,,164.000,,,1.20,,,0.19,,,0.05,,,,,E68F96C7-984A-47B5-B17C-B2806BD1CF1C,KBOB 2022 V4
