Name,ProductKey,Description,Picture,Product sections,Type,SubType,vyzn.catalogue.Density,vyzn.catalogue.ch.KBOB2022.UBPTotal,vyzn.catalogue.ch.KBOB2022.UBPProduction,vyzn.catalogue.ch.KBOB2022.UBPDisposal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyTotal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyProduction,vyzn.catalogue.ch.KBOB2022.RenewableEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GreyEnergyTotal,vyzn.catalogue.ch.KBOB2022.GreyEnergyProduction,vyzn.catalogue.ch.KBOB2022.GreyEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsTotal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsProduction,vyzn.catalogue.ch.KBOB2022.GHGEmissionsDisposal,vyzn.catalogue.ch.KBOB2022.LCARefUnit,vyzn.catalogue.ch.KBOB2022.LCARefDimension,vyzn.catalogue.ch.KBOB2022.BiogenicCarbon,KBOB REF,vyzn.catalogue.SourceENV,categoryPath,vyzn.catalogue.lifeCycle
"91.154 Entsorgung, Natursteinziegel (KBOB.2022v5)","91.154 Entsorgung, Natursteinziegel (KBOB.2022v5)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,1720,,,0.09,,,2.13,,,0.514,,,m2,,,850fc18d-9374-4063-ba8a-9c58c4d4a9c2,KBOB 2022v5,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,
"91.155 Entsorgung, Kunststoff-Rohre, ABS (KBOB.2022v5)","91.155 Entsorgung, Kunststoff-Rohre, ABS (KBOB.2022v5)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,2980,,,0.02,,,0.74,,,2.750,,,kg,,,50811299-6478-4ff1-907b-54cee1e16329,KBOB 2022v5,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,
"91.156 Entsorgung, Kunststoff-Rohre, PVC (KBOB.2022v5)","91.156 Entsorgung, Kunststoff-Rohre, PVC (KBOB.2022v5)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,2370,,,0.10,,,1.10,,,2.100,,,kg,,,0f44ef21-9727-4946-9900-1669e6ccc057,KBOB 2022v5,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,
"91.157 Entsorgung, Farbe, 1 Schicht (KBOB.2022v5)","91.157 Entsorgung, Farbe, 1 Schicht (KBOB.2022v5)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,59,,,0.00,,,0.01,,,0.047,,,m2,,,7e925aba-3085-46c3-bd73-78b1dbea89f9,KBOB 2022v5,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,
"91.158 Entsorgung, Kunststoffe aus reinen Kohlenwasserstoffen (KBOB.2022v5)","91.158 Entsorgung, Kunststoffe aus reinen Kohlenwasserstoffen (KBOB.2022v5)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,3090,,,0.01,,,0.21,,,2.920,,,kg,,,ec61c6dc-4005-4590-8b05-c3b01ce1be63,KBOB 2022v5,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,
"91.159 Entsorgung, Kunststoffe, stickstoffhaltig (KBOB.2022v5)","91.159 Entsorgung, Kunststoffe, stickstoffhaltig (KBOB.2022v5)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,2910,,,0.02,,,0.69,,,2.620,,,kg,,,39c2a498-02fc-46f0-9a76-14403c3d0c95,KBOB 2022v5,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,
"91.160 Entsorgung, Polystyrol (KBOB.2022v5)","91.160 Entsorgung, Polystyrol (KBOB.2022v5)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,3280,,,0.01,,,0.21,,,3.080,,,kg,,,3e60836d-8866-4d22-be4b-f0974630a288,KBOB 2022v5,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,
"91.161 Entsorgung, Arbeitsplatte Chromstahl, High-End (KBOB.2022v5)","91.161 Entsorgung, Arbeitsplatte Chromstahl, High-End (KBOB.2022v5)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,708,,,0.04,,,1.74,,,0.444,,,m2,,,4316ef40-6042-47c3-a649-280f74eaf4ee,KBOB 2022v5,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,
"91.162 Entsorgung, Aussentüre, Aluminium, Glaseinsatz (KBOB.2022v5)","91.162 Entsorgung, Aussentüre, Aluminium, Glaseinsatz (KBOB.2022v5)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,17300,,,0.49,,,5.34,,,14.800,,,m2,,,6413a3a8-fda3-4122-8de2-0e7ebb4c9f0b,KBOB 2022v5,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,
"91.163 Entsorgung, Aussentüre, Aluminium, Paneelfüllung (KBOB.2022v5)","91.163 Entsorgung, Aussentüre, Aluminium, Paneelfüllung (KBOB.2022v5)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,10500,,,0.03,,,0.79,,,10.000,,,m2,,,f11dfffa-a047-4837-93ca-6294b16a898f,KBOB 2022v5,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,
"91.164 Entsorgung, Gebäude, Aussentüre, Holz (KBOB.2022v5)","91.164 Entsorgung, Gebäude, Aussentüre, Holz (KBOB.2022v5)",,,,OTHER_RESOURCE,OTHER_RESOURCE_DISPOSAL_CONSTRUCTION_MATERIAL,,9270,,,0.14,,,4.17,,,7.640,,,m2,,,82d54420-9f2c-4221-be57-b02ee77cc400,KBOB 2022v5,Alle > RESSOURCEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5,
