Name,ProductKey,Description,Picture,Product sections,Type,vyzn.catalogue.Density,vyzn.catalogue.ch.KBOB2022.UBPTotal,vyzn.catalogue.ch.KBOB2022.UBPProduction,vyzn.catalogue.ch.KBOB2022.UBPDisposal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyTotal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyProduction,vyzn.catalogue.ch.KBOB2022.RenewableEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GreyEnergyTotal,vyzn.catalogue.ch.KBOB2022.GreyEnergyProduction,vyzn.catalogue.ch.KBOB2022.GreyEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsTotal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsProduction,vyzn.catalogue.ch.KBOB2022.GHGEmissionsDisposal,vyzn.catalogue.ch.KBOB2022.LCARefUnit,vyzn.catalogue.ch.KBOB2022.BiogenicCarbon,KBOB REF,vyzn.catalogue.SourceENV,categoryPath
"11.007 Kautschuk, 2 mm (KBOB.2022v5_r)","11.007 Kautschuk, 2 mm (KBOB.2022v5_r)",,,,REFERENCE_MATERIAL,3.36,24200,20400,3750,9.91,9.85,0.0665,60.8,59.8,0.925,14.1,11,3.19,m2,0,63EE2517-0078-4246-B833-08D253528653,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"11.008 Keramik-/Steinzeugplatte, 9 mm (KBOB.2022v5_r)","11.008 Keramik-/Steinzeugplatte, 9 mm (KBOB.2022v5_r)",,,,REFERENCE_MATERIAL,18,86800,73100,13800,4.49,3.77,0.715,83.1,66,17,18.2,14,4.11,m2,0,414EEBBE-85C4-4869-A411-29C0097ADA38,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"11.009 Kork Fertigparkett, 10.5 mm (KBOB.2022v5_r)","11.009 Kork Fertigparkett, 10.5 mm (KBOB.2022v5_r)",,,,REFERENCE_MATERIAL,7.8,15500,13400,2130,39.2,39.1,0.1,45.2,43.8,1.36,9.07,7.77,1.3,m2,2.73,09B8473A-DDB4-42D4-977E-C9CA914B54AC,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"11.010 Kork PVC-beschichtet, 3.2 mm (KBOB.2022v5_r)","11.010 Kork PVC-beschichtet, 3.2 mm (KBOB.2022v5_r)",,,,REFERENCE_MATERIAL,2.7,12000,7890,4060,8.39,8.29,0.0971,34.7,33.3,1.43,8.28,4.75,3.52,m2,0.604,BF645614-152F-4820-8AA9-45B474C60CE2,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"11.011 Korkparkett geölt/versiegelt, 5.3 mm (KBOB.2022v5_r)","11.011 Korkparkett geölt/versiegelt, 5.3 mm (KBOB.2022v5_r)",,,,REFERENCE_MATERIAL,2.7,5970,3830,2130,12.3,12.2,0.1,12.1,10.7,1.36,3.26,1.96,1.3,m2,0.921,32D89BCF-BBDA-4EC1-B2B8-E4EE731B5D82,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"11.012 Kunststeinplatte zementgebunden, 10 mm (KBOB.2022v5_r)","11.012 Kunststeinplatte zementgebunden, 10 mm (KBOB.2022v5_r)",,,,REFERENCE_MATERIAL,21.5,25700,6100,19600,1.78,0.762,1.02,30.4,6.04,24.3,10.4,4.51,5.86,m2,0,D6E43E7F-94A3-46BC-8327-A37DC2283E3A,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"11.013 Laminat, 8.5 mm (KBOB.2022v5_r)","11.013 Laminat, 8.5 mm (KBOB.2022v5_r)",,,,REFERENCE_MATERIAL,8.5,16600,13600,2970,38.3,38.2,0.108,42.7,41.3,1.45,10.4,8.1,2.3,m2,2.42,927E7BE7-E17F-4B77-B6A5-F1E755ED4C9D,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"11.014 Linoleum, 2.5 mm (KBOB.2022v5_r)","11.014 Linoleum, 2.5 mm (KBOB.2022v5_r)",,,,REFERENCE_MATERIAL,2.9,15800,15100,728,19.3,19.3,0.0362,26.3,25.9,0.437,6.36,5.84,0.516,m2,0.786,219ECD16-D974-452B-9D34-CB93A1C2087D,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"11.015 Natursteinplatte geschliffen, 15 mm (KBOB.2022v5_r)","11.015 Natursteinplatte geschliffen, 15 mm (KBOB.2022v5_r)",,,,REFERENCE_MATERIAL,40.5,41900,40200,1720,19.8,19.7,0.0893,118,116,2.13,16.8,16.3,0.514,m2,0,A94BDF7C-82AA-49BB-A7D8-BA6C9DE53D49,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
"11.015.01 Natursteinplatte geschliffen, Europa, 15 mm (KBOB.2022v5_r)","11.015.01 Natursteinplatte geschliffen, Europa, 15 mm (KBOB.2022v5_r)",,,,REFERENCE_MATERIAL,40.5,40700,39000,1720,19.9,19.8,0.0893,117,115,2.13,16.6,16.1,0.514,m2,0,C5248FB7-477A-414E-9767-D520A592AD8F,KBOB 2022 V5,Alle > REFERENZ-MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2022v5
