Name,ProductKey,vyzn.catalogue.SourceENV,Type,vyzn.catalogue.Density,vyzn.catalogue.ch.KBOB2022.LCARefUnit,vyzn.catalogue.ch.KBOB2022.UBPTotal,vyzn.catalogue.ch.KBOB2022.UBPProduction,vyzn.catalogue.ch.KBOB2022.UBPDisposal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyTotal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyProduction,vyzn.catalogue.ch.KBOB2022.RenewableEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GreyEnergyTotal,vyzn.catalogue.ch.KBOB2022.GreyEnergyProduction,vyzn.catalogue.ch.KBOB2022.GreyEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsTotal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsProduction,vyzn.catalogue.ch.KBOB2022.GHGEmissionsDisposal,categoryPath
04.002 Baukleber/Einbettmörtel organisch (KBOB.2016v1),04.002 Baukleber/Einbettmörtel organisch (KBOB.2016v1),KBOB 2016 v1,MATERIAL,1670.000,kg,1000.000,982.000,17.200,0.100,0.100,0.001,4.200,4.100,0.064,0.760,0.750,0.009,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
04.004 Lehmputz (KBOB.2016v1),04.004 Lehmputz (KBOB.2016v1),KBOB 2016 v1,MATERIAL,1800.000,kg,62.300,43.000,19.300,0.016,0.014,0.002,0.164,0.134,0.031,0.023,0.018,0.005,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"04.005 Unterlagsboden Anhydrit, 60 mm (KBOB.2016v1)","04.005 Unterlagsboden Anhydrit, 60 mm (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,2000.000,kg,146.000,128.000,18.500,0.030,0.020,0.001,0.460,0.390,0.069,0.087,0.077,0.010,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"04.006 Unterlagsboden Zement, 85 mm (KBOB.2016v1)","04.006 Unterlagsboden Zement, 85 mm (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,1850.000,kg,140.000,122.000,17.200,0.030,0.030,0.001,0.280,0.217,0.064,0.125,0.116,0.009,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
04.007 Wärmedämmputz EPS (KBOB.2016v1),04.007 Wärmedämmputz EPS (KBOB.2016v1),KBOB 2016 v1,MATERIAL,250.000,kg,613.000,596.000,17.200,0.140,0.140,0.001,1.960,1.890,0.064,0.767,0.758,0.009,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
04.008 Baukleber/Einbettmörtel mineralisch (KBOB.2016v1),04.008 Baukleber/Einbettmörtel mineralisch (KBOB.2016v1),KBOB 2016 v1,MATERIAL,1400.000,kg,427.000,410.000,17.200,0.170,0.170,0.001,1.600,1.540,0.064,0.406,0.397,0.009,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
04.010 Baukleber/Einbettmörtel mineralisch Leichtzuschlag (KBOB.2016v1),04.010 Baukleber/Einbettmörtel mineralisch Leichtzuschlag (KBOB.2016v1),KBOB 2016 v1,MATERIAL,1100.000,kg,424.000,407.000,17.200,0.150,0.150,0.001,1.690,1.620,0.064,0.427,0.418,0.009,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
04.011 Silikatputz (Dispersionssilikatputz) (KBOB.2016v1),04.011 Silikatputz (Dispersionssilikatputz) (KBOB.2016v1),KBOB 2016 v1,MATERIAL,1880.000,kg,1220.000,1200.000,17.200,0.250,0.250,0.001,5.110,5.040,0.064,0.975,0.966,0.009,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
04.012 Silikonharzputz (KBOB.2016v1),04.012 Silikonharzputz (KBOB.2016v1),KBOB 2016 v1,MATERIAL,1670.000,kg,1410.000,1390.000,17.200,0.370,0.370,0.001,6.170,6.100,0.064,1.120,1.110,0.009,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
04.013 Kalk-Zement/Zement-Kalk-Putz (KBOB.2016v1),04.013 Kalk-Zement/Zement-Kalk-Putz (KBOB.2016v1),KBOB 2016 v1,MATERIAL,1550.000,kg,237.000,220.000,17.200,0.130,0.130,0.001,0.770,0.700,0.064,0.247,0.238,0.009,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
04.014 Weisszementputz (KBOB.2016v1),04.014 Weisszementputz (KBOB.2016v1),KBOB 2016 v1,MATERIAL,1550.000,kg,301.000,284.000,17.200,0.140,0.140,0.001,1.000,0.940,0.064,0.328,0.319,0.009,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
04.015 Leichtputz mineralisch (KBOB.2016v1),04.015 Leichtputz mineralisch (KBOB.2016v1),KBOB 2016 v1,MATERIAL,1000.000,kg,366.000,348.000,17.200,0.150,0.150,0.001,1.300,1.230,0.064,0.366,0.357,0.009,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
04.016 Sumpfkalkputz (KBOB.2016v1),04.016 Sumpfkalkputz (KBOB.2016v1),KBOB 2016 v1,MATERIAL,1350.000,kg,442.000,425.000,17.200,0.110,0.110,0.001,1.800,1.740,0.064,0.469,0.460,0.009,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
04.017 Gips-Kalk-Putz (KBOB.2016v1),04.017 Gips-Kalk-Putz (KBOB.2016v1),KBOB 2016 v1,MATERIAL,925.000,kg,151.000,134.000,17.200,0.060,0.060,0.001,0.690,0.620,0.064,0.155,0.145,0.009,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"06.001 Aluminiumblech, blank (KBOB.2016v1)","06.001 Aluminiumblech, blank (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,2690.000,kg,7300.000,7300.000,0.000,5.000,5.000,0.000,27.000,27.000,0.000,5.620,5.620,0.000,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"06.002 Aluminiumprofil, blank (KBOB.2016v1)","06.002 Aluminiumprofil, blank (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,2690.000,kg,6980.000,6980.000,0.000,5.000,5.000,0.000,27.000,27.000,0.000,5.710,5.710,0.000,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
