Name,ProductKey,vyzn.catalogue.SourceENV,Type,vyzn.catalogue.Density,vyzn.catalogue.ch.KBOB2022.LCARefUnit,vyzn.catalogue.ch.KBOB2022.UBPTotal,vyzn.catalogue.ch.KBOB2022.UBPProduction,vyzn.catalogue.ch.KBOB2022.UBPDisposal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyTotal,vyzn.catalogue.ch.KBOB2022.RenewableEnergyProduction,vyzn.catalogue.ch.KBOB2022.RenewableEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GreyEnergyTotal,vyzn.catalogue.ch.KBOB2022.GreyEnergyProduction,vyzn.catalogue.ch.KBOB2022.GreyEnergyDisposal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsTotal,vyzn.catalogue.ch.KBOB2022.GHGEmissionsProduction,vyzn.catalogue.ch.KBOB2022.GHGEmissionsDisposal,categoryPath
"11.009 Kork Fertigparkett, 10.5 mm (KBOB.2016v1)","11.009 Kork Fertigparkett, 10.5 mm (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,,m2,11000.000,9740.000,1210.000,39.000,39.000,0.010,47.000,46.000,0.630,9.680,8.020,1.660,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"11.010 Kork PVC-beschichtet, 3.2 mm (KBOB.2016v1)","11.010 Kork PVC-beschichtet, 3.2 mm (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,,m2,7200.000,5650.000,1550.000,8.000,8.000,0.010,34.000,34.000,0.360,7.580,4.760,2.820,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"11.011 Korkparkett geölt/versiegelt, 5.3 mm (KBOB.2016v1)","11.011 Korkparkett geölt/versiegelt, 5.3 mm (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,,m2,3020.000,2620.000,401.000,11.800,11.700,0.004,11.100,10.900,0.186,2.560,1.970,0.585,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"11.012 Kunststeinplatte zementgebunden, 10 mm (KBOB.2016v1)","11.012 Kunststeinplatte zementgebunden, 10 mm (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,,m2,4940.000,4390.000,554.000,0.700,0.700,0.040,8.500,7.400,1.090,5.040,4.850,0.194,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"11.013 Laminat, 8.5 mm (KBOB.2016v1)","11.013 Laminat, 8.5 mm (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,,m2,10300.000,10000.000,248.000,38.000,38.000,0.000,45.000,44.000,0.290,8.470,8.380,0.088,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"11.014 Linoleum, 2.5 mm (KBOB.2016v1)","11.014 Linoleum, 2.5 mm (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,,m2,10800.000,10400.000,378.000,19.000,19.000,0.004,26.900,26.700,0.270,6.360,5.900,0.462,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"11.015 Natursteinplatte geschliffen, 15 mm (KBOB.2016v1)","11.015 Natursteinplatte geschliffen, 15 mm (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,,m2,32000.000,31000.000,1040.000,16.000,16.000,0.070,137.000,135.000,2.050,16.200,15.800,0.366,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"11.015.01 Natursteinplatte geschliffen, Europa, 15 mm (KBOB.2016v1)","11.015.01 Natursteinplatte geschliffen, Europa, 15 mm (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,,m2,30300.000,29200.000,1040.000,16.300,16.200,0.072,134.000,132.000,2.050,15.300,14.900,0.366,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"11.015.02 Natursteinplatte geschliffen, Schweiz, 15 mm (KBOB.2016v1)","11.015.02 Natursteinplatte geschliffen, Schweiz, 15 mm (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,,m2,25300.000,24300.000,1040.000,16.000,16.000,0.072,118.000,116.000,2.050,11.900,11.600,0.366,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"11.015.03 Natursteinplatte geschliffen, Übersee, 15 mm (KBOB.2016v1)","11.015.03 Natursteinplatte geschliffen, Übersee, 15 mm (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,,m2,34900.000,33900.000,1040.000,16.600,16.500,0.072,144.000,142.000,2.050,17.900,17.500,0.366,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"11.016 Natursteinplatte geschnitten, 15 mm (KBOB.2016v1)","11.016 Natursteinplatte geschnitten, 15 mm (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,,m2,24800.000,23800.000,1040.000,11.000,11.000,0.070,102.000,100.000,2.050,13.200,12.900,0.366,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"11.017 Natursteinplatte poliert, 15 mm (KBOB.2016v1)","11.017 Natursteinplatte poliert, 15 mm (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,,m2,55100.000,54000.000,1040.000,21.000,21.000,0.070,167.000,165.000,2.050,18.600,18.200,0.366,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"11.018 Parkett 2-Schicht werkversiegelt, 11 mm (KBOB.2016v1)","11.018 Parkett 2-Schicht werkversiegelt, 11 mm (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,,m2,12700.000,12600.000,159.000,86.000,86.000,0.000,45.000,44.000,0.180,7.500,7.450,0.060,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"11.019 Parkett 3-Schicht werkversiegelt, 15 mm (KBOB.2016v1)","11.019 Parkett 3-Schicht werkversiegelt, 15 mm (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,,m2,17100.000,16800.000,216.000,148.000,148.000,0.000,46.000,45.000,0.250,8.200,8.160,0.080,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"11.020 Parkett Mosaik werkversiegelt, 8 mm (KBOB.2016v1)","11.020 Parkett Mosaik werkversiegelt, 8 mm (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,,m2,7920.000,7790.000,134.000,78.000,78.000,0.000,26.000,26.000,0.160,3.400,3.380,0.050,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"11.021 PVC homogen, 2 mm (KBOB.2016v1)","11.021 PVC homogen, 2 mm (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,,m2,12400.000,9350.000,3050.000,2.000,2.000,0.180,58.000,55.000,2.320,13.400,8.120,5.240,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"11.022 Steinholz versiegelt, 16.5 mm (KBOB.2016v1)","11.022 Steinholz versiegelt, 16.5 mm (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,,m2,8790.000,8460.000,330.000,0.900,0.900,0.010,26.000,24.800,1.260,12.800,12.700,0.164,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"11.023 Synthetische thermoplastische Beläge (TPO), 2 mm (KBOB.2016v1)","11.023 Synthetische thermoplastische Beläge (TPO), 2 mm (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,,m2,8420.000,5630.000,2790.000,3.000,3.000,0.020,44.000,43.000,0.680,11.000,5.860,5.100,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
11.024 Teppich Kunstfaser getuftet (KBOB.2016v1),11.024 Teppich Kunstfaser getuftet (KBOB.2016v1),KBOB 2016 v1,MATERIAL,,m2,10900.000,8640.000,2270.000,1.000,1.000,0.010,50.000,50.000,0.400,14.900,10.500,4.410,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
11.025 Teppich Nadelfilz (KBOB.2016v1),11.025 Teppich Nadelfilz (KBOB.2016v1),KBOB 2016 v1,MATERIAL,,m2,6960.000,5080.000,1880.000,1.000,1.000,0.010,34.000,34.000,0.274,9.650,5.970,3.680,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
11.026 Teppich Naturfaser (KBOB.2016v1),11.026 Teppich Naturfaser (KBOB.2016v1),KBOB 2016 v1,MATERIAL,,m2,9640.000,8930.000,710.000,10.800,10.800,0.006,15.700,15.500,0.241,4.410,3.260,1.160,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"11.027 Terrazzo versiegelt, 40 mm (KBOB.2016v1)","11.027 Terrazzo versiegelt, 40 mm (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,,m2,18800.000,18500.000,339.000,4.000,4.000,0.010,45.000,44.000,0.810,17.800,17.600,0.135,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"12.001 Aussentüre, Holz, aluminiumbeplankt (KBOB.2016v1)","12.001 Aussentüre, Holz, aluminiumbeplankt (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,,m2,166000.000,161000.000,4680.000,175.000,175.000,0.100,330.000,321.000,8.700,77.600,74.300,3.270,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"12.002 Aussentüre, Holz, Glaseinsatz (KBOB.2016v1)","12.002 Aussentüre, Holz, Glaseinsatz (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,,m2,183000.000,178000.000,5500.000,122.000,121.000,0.100,411.000,403.000,8.400,97.700,92.100,5.620,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"12.003 Innentüre, Holz (KBOB.2016v1)","12.003 Innentüre, Holz (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,,m2,58700.000,53300.000,5370.000,290.000,290.000,0.100,193.000,189.000,4.100,43.000,35.300,7.730,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"12.004 Innentüre, Holz, Glaseinsatz (KBOB.2016v1)","12.004 Innentüre, Holz, Glaseinsatz (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,,m2,87800.000,77200.000,10600.000,245.000,245.000,0.300,308.000,287.000,20.500,69.000,57.400,11.600,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"14.001 Anstrich, wasserverdünnbar, 2 Anstriche (KBOB.2016v1)","14.001 Anstrich, wasserverdünnbar, 2 Anstriche (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,,m2,1230.000,759.000,471.000,0.100,0.100,0.001,4.200,4.200,0.000,1.360,0.644,0.719,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"14.002 Anstrich, lösemittelverdünnbar, 2 Anstriche (KBOB.2016v1)","14.002 Anstrich, lösemittelverdünnbar, 2 Anstriche (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,,m2,1960.000,1480.000,471.000,0.400,0.400,0.001,6.500,6.500,0.000,1.600,0.877,0.719,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"14.003 Bitumenemulsion, 1 Anstrich (KBOB.2016v1)","14.003 Bitumenemulsion, 1 Anstrich (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,,m2,626.000,331.000,295.000,0.020,0.020,0.002,1.900,1.900,0.100,0.706,0.113,0.593,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"14.004 Emaillieren, Metall (KBOB.2016v1)","14.004 Emaillieren, Metall (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,,m2,10500.000,10500.000,0.000,4.000,4.000,0.000,44.000,44.000,0.000,8.110,8.110,0.000,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"14.005 Pulverbeschichten, Aluminium (KBOB.2016v1)","14.005 Pulverbeschichten, Aluminium (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,,m2,4470.000,4470.000,0.000,0.600,0.600,0.000,17.300,17.300,0.000,3.720,3.720,0.000,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"14.006 Pulverbeschichten, Stahl (KBOB.2016v1)","14.006 Pulverbeschichten, Stahl (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,,m2,4740.000,4740.000,0.000,0.800,0.800,0.000,22.100,22.100,0.000,4.500,4.500,0.000,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
"14.007 Verchromen, Stahl (KBOB.2016v1)","14.007 Verchromen, Stahl (KBOB.2016v1)",KBOB 2016 v1,MATERIAL,,m2,7120.000,7120.000,0.000,0.800,0.800,0.000,5.000,5.000,0.000,0.582,0.582,0.000,"Alle > MATERIALIEN > kbob.admin.ch > KBOB / ecobau / IPB 2009/1:2016v1
"
